latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-28.36084,23.5107,308.57,0.45,0.47,2025-02-01,0000,N21,VIIRS,n,2.0NRT,291.17,1.86,N
-31.78221,19.80386,326.47,0.48,0.4,2025-02-01,0000,N21,VIIRS,n,2.0NRT,284.35,10.92,N
-32.93879,18.76039,302.28,0.45,0.39,2025-02-01,0000,N21,VIIRS,n,2.0NRT,289.11,1.09,N
-32.96413,18.04637,302.05,0.42,0.38,2025-02-01,0000,N21,VIIRS,n,2.0NRT,289.02,1.07,N
-33.48668,19.67431,299.76,0.49,0.4,2025-02-01,0000,N21,VIIRS,n,2.0NRT,285.95,0.37,N
-33.87407,18.80241,300.43,0.46,0.39,2025-02-01,0002,N21,VIIRS,n,2.0NRT,286.95,0.78,N
-27.69608,30.02778,329.74,0.74,0.76,2025-02-01,1045,N21,VIIRS,n,2.0NRT,296.11,10.92,D
-27.69864,30.02283,341.58,0.74,0.76,2025-02-01,1045,N21,VIIRS,n,2.0NRT,296.66,18.37,D
-25.36701,29.82895,340.57,0.73,0.76,2025-02-01,1045,N21,VIIRS,n,2.0NRT,290.47,9.17,D
-22.46876,30.44824,341.52,0.62,0.72,2025-02-01,1047,N21,VIIRS,n,2.0NRT,294.59,15.82,D
-28.56223,24.69685,346.07,0.52,0.42,2025-02-01,1223,N21,VIIRS,l,2.0NRT,316.27,10.38,D
-28.56122,24.70216,349.72,0.52,0.42,2025-02-01,1223,N21,VIIRS,n,2.0NRT,316.25,10.38,D
-26.89662,30.67418,367,0.41,0.61,2025-02-01,1223,N21,VIIRS,h,2.0NRT,291.93,17.02,D
-26.54377,29.15883,332.59,0.34,0.56,2025-02-01,1223,N21,VIIRS,n,2.0NRT,302.25,4.39,D
-26.54606,29.14874,336.29,0.34,0.56,2025-02-01,1223,N21,VIIRS,n,2.0NRT,304.56,6.42,D
-26.0315,29.21282,331.28,0.35,0.57,2025-02-01,1223,N21,VIIRS,l,2.0NRT,303.7,6.2,D
-26.03229,29.2093,337.47,0.35,0.57,2025-02-01,1223,N21,VIIRS,n,2.0NRT,305.58,6.2,D
-26.03466,29.19876,331.23,0.35,0.57,2025-02-01,1223,N21,VIIRS,l,2.0NRT,303.12,7.72,D
-26.02753,29.18191,333.24,0.35,0.57,2025-02-01,1223,N21,VIIRS,l,2.0NRT,305.8,6.32,D
-26.02829,29.17854,337.15,0.35,0.57,2025-02-01,1223,N21,VIIRS,n,2.0NRT,305.63,6.32,D
-26.02905,29.1752,334.47,0.35,0.57,2025-02-01,1223,N21,VIIRS,l,2.0NRT,305.64,4.77,D
-26.02979,29.17187,330.32,0.35,0.57,2025-02-01,1223,N21,VIIRS,l,2.0NRT,304.19,4.77,D
-26.02111,29.16203,332.67,0.35,0.57,2025-02-01,1223,N21,VIIRS,l,2.0NRT,303.38,9.6,D
-25.8599,29.17131,367,0.35,0.57,2025-02-01,1223,N21,VIIRS,h,2.0NRT,303.17,11.94,D
